datetime,m3/d
2019-05-29,26859.162958200002
2019-05-30,18583.2548631
2019-05-31,14517.386228700001
2019-06-01,12140.7471891
2019-06-02,10516.4235765
2019-06-03,9294.0470334
2019-06-04,8491.9047804
2019-06-05,8011.7604045
2019-06-06,7573.4040996
2019-06-07,7167.149929799999
2019-06-08,6793.649343000001
2019-06-09,6587.542688400001
2019-06-10,6302.3671719
2019-06-11,6113.367852300001
2019-06-12,5922.120081600001
2019-06-13,5714.1432306
2019-06-14,5547.8278485
2019-06-15,5760.095616
2019-06-16,6351.3826884
2019-06-17,6847.082861400001
2019-06-18,6971.6814606
2019-06-19,6857.9851689
2019-06-20,6587.6238504
2019-06-21,6283.3503294
2019-06-22,6035.0695605
2019-06-23,5808.7059048
2019-06-24,5593.2875136
2019-06-25,5409.8512632
2019-06-26,5193.739659600001
2019-06-27,5154.121209600001
2019-06-28,61414.0711155
2019-06-29,28901.6544591
2019-06-30,18881.1629631
2019-07-01,17392.580467199998
2019-07-02,17497.954640699998
2019-07-03,15738.290865
2019-07-04,13769.1107154
2019-07-05,12588.012261900001
2019-07-06,29422.4060439
2019-07-07,21492.162042300002
2019-07-08,15723.5959611
2019-07-09,12730.3337484
2019-07-10,10690.692655500001
2019-07-11,9289.1097513
2019-07-12,8376.4516455
2019-07-13,7868.9628936
2019-07-14,7390.646641799999
2019-07-15,7534.088047820224
2019-07-16,7506.9889587
2019-07-17,7345.964358
2019-07-18,10182.8995155
2019-07-19,96230.62705324557
2019-07-20,52733.3231178
2019-07-21,40861.6984485
2019-07-22,27714.1703175
2019-07-23,20819.5974963
2019-07-24,17037.211743
2019-07-25,14635.183000500001
2019-07-26,13057.3884339
2019-07-27,11810.4476823
2019-07-28,10791.1426662
2019-07-29,9910.888769700001
2019-07-30,9294.9575706
2019-07-31,8812.997307
2019-08-01,8278.1708742
2019-08-02,7801.7116553999995
2019-08-03,7411.503191399999
2019-08-04,7042.018671900001
2019-08-05,6683.6879208
2019-08-06,6423.7756752
2019-08-07,6226.6219065000005
2019-08-08,6000.0588882
2019-08-09,5830.9206075
2019-08-10,5684.3646894
2019-08-11,5530.205776499999
2019-08-12,5402.0114856
