from_id,to_id,x_0,y_0,z_0,x_1,y_1,z_1,is_conduit
2915.0,2916.0,558171.6838064453,4869113.746310753,0.0,558155.0171397786,4869130.412977419,0.0,True
2916.0,436.0,558155.0171397786,4869130.412977419,0.0,558138.350473112,4869147.079644086,0.0,True
287.0,3006.0,558338.350473112,4868347.079644086,0.0,558338.350473112,4868372.079644086,0.0,True
3006.0,3007.0,558338.350473112,4868372.079644086,0.0,558338.350473112,4868397.079644086,0.0,True
3007.0,3008.0,558338.350473112,4868397.079644086,0.0,558338.350473112,4868422.079644086,0.0,True
3008.0,312.0,558338.350473112,4868422.079644086,0.0,558338.350473112,4868447.079644086,0.0,True
89.0,3289.0,558438.350473112,4867647.079644086,0.0,558438.350473112,4867672.079644086,0.0,True
3289.0,3290.0,558438.350473112,4867672.079644086,0.0,558438.350473112,4867697.079644086,0.0,True
3290.0,3291.0,558438.350473112,4867697.079644086,0.0,558438.350473112,4867722.079644086,0.0,True
3291.0,117.0,558438.350473112,4867722.079644086,0.0,558438.350473112,4867747.079644086,0.0,True
365.0,3356.0,559038.350473112,4868647.079644086,0.0,559021.6838064453,4868663.746310753,0.0,True
3356.0,3357.0,559021.6838064453,4868663.746310753,0.0,559005.0171397786,4868680.412977419,0.0,True
3357.0,3358.0,559005.0171397786,4868680.412977419,0.0,558988.350473112,4868697.079644086,0.0,True
3358.0,3359.0,558988.350473112,4868697.079644086,0.0,558971.6838064453,4868713.746310753,0.0,True
3359.0,3360.0,558971.6838064453,4868713.746310753,0.0,558955.0171397786,4868730.412977419,0.0,True
3360.0,384.0,558955.0171397786,4868730.412977419,0.0,558938.350473112,4868747.079644086,0.0,True
377.0,3376.0,558238.350473112,4868747.079644086,0.0,558221.6838064453,4868763.746310753,0.0,True
3376.0,3377.0,558221.6838064453,4868763.746310753,0.0,558205.0171397786,4868780.412977419,0.0,True
3377.0,3378.0,558205.0171397786,4868780.412977419,0.0,558188.350473112,4868797.079644086,0.0,True
3378.0,3379.0,558188.350473112,4868797.079644086,0.0,558171.6838064453,4868813.746310753,0.0,True
3379.0,3380.0,558171.6838064453,4868813.746310753,0.0,558155.0171397786,4868830.412977419,0.0,True
3380.0,394.0,558155.0171397786,4868830.412977419,0.0,558138.350473112,4868847.079644086,0.0,True
202.0,3411.0,558338.350473112,4868047.079644086,0.0,558338.350473112,4868072.079644086,0.0,True
3411.0,3412.0,558338.350473112,4868072.079644086,0.0,558338.350473112,4868097.079644086,0.0,True
3412.0,3413.0,558338.350473112,4868097.079644086,0.0,558338.350473112,4868122.079644086,0.0,True
3413.0,231.0,558338.350473112,4868122.079644086,0.0,558338.350473112,4868147.079644086,0.0,True
287.0,3441.0,558338.350473112,4868347.079644086,0.0,558321.6838064453,4868363.746310753,0.0,True
3441.0,3442.0,558321.6838064453,4868363.746310753,0.0,558305.0171397786,4868380.412977419,0.0,True
3442.0,3443.0,558305.0171397786,4868380.412977419,0.0,558288.350473112,4868397.079644086,0.0,True
3443.0,3444.0,558288.350473112,4868397.079644086,0.0,558271.6838064453,4868413.746310753,0.0,True
3444.0,3445.0,558271.6838064453,4868413.746310753,0.0,558255.0171397786,4868430.412977419,0.0,True
3445.0,311.0,558255.0171397786,4868430.412977419,0.0,558238.350473112,4868447.079644086,0.0,True
450.0,3449.0,557938.350473112,4869347.079644086,0.0,557921.6838064453,4869363.746310753,0.0,True
3449.0,3450.0,557921.6838064453,4869363.746310753,0.0,557905.0171397786,4869380.412977419,0.0,True
3450.0,3451.0,557905.0171397786,4869380.412977419,0.0,557888.350473112,4869397.079644086,0.0,True
3451.0,3452.0,557888.350473112,4869397.079644086,0.0,557871.6838064453,4869413.746310753,0.0,True
3452.0,3453.0,557871.6838064453,4869413.746310753,0.0,557855.0171397786,4869430.412977419,0.0,True
3453.0,454.0,557855.0171397786,4869430.412977419,0.0,557838.350473112,4869447.079644086,0.0,True
221.0,3459.0,560238.350473112,4868047.079644086,0.0,560263.350473112,4868047.079644086,0.0,True
3459.0,3460.0,560263.350473112,4868047.079644086,0.0,560288.350473112,4868047.079644086,0.0,True
3460.0,3461.0,560288.350473112,4868047.079644086,0.0,560313.350473112,4868047.079644086,0.0,True
383.0,3486.0,558838.350473112,4868747.079644086,0.0,558821.6838064453,4868763.746310753,0.0,True
3486.0,3487.0,558821.6838064453,4868763.746310753,0.0,558805.0171397786,4868780.412977419,0.0,True
3487.0,3488.0,558805.0171397786,4868780.412977419,0.0,558788.350473112,4868797.079644086,0.0,True
3488.0,3489.0,558788.350473112,4868797.079644086,0.0,558771.6838064453,4868813.746310753,0.0,True
3489.0,3490.0,558771.6838064453,4868813.746310753,0.0,558755.0171397786,4868830.412977419,0.0,True
3490.0,400.0,558755.0171397786,4868830.412977419,0.0,558738.350473112,4868847.079644086,0.0,True
3593.0,3594.0,557763.350473112,4869447.079644086,0.0,557788.350473112,4869447.079644086,0.0,True
3594.0,3595.0,557788.350473112,4869447.079644086,0.0,557813.350473112,4869447.079644086,0.0,True
3595.0,454.0,557813.350473112,4869447.079644086,0.0,557838.350473112,4869447.079644086,0.0,True
435.0,3606.0,558038.350473112,4869147.079644086,0.0,558063.350473112,4869147.079644086,0.0,True
3606.0,3607.0,558063.350473112,4869147.079644086,0.0,558088.350473112,4869147.079644086,0.0,True
3607.0,3608.0,558088.350473112,4869147.079644086,0.0,558113.350473112,4869147.079644086,0.0,True
3608.0,436.0,558113.350473112,4869147.079644086,0.0,558138.350473112,4869147.079644086,0.0,True
117.0,3652.0,558438.350473112,4867747.079644086,0.0,558438.350473112,4867772.079644086,0.0,True
3652.0,3653.0,558438.350473112,4867772.079644086,0.0,558438.350473112,4867797.079644086,0.0,True
3653.0,3654.0,558438.350473112,4867797.079644086,0.0,558438.350473112,4867822.079644086,0.0,True
3654.0,145.0,558438.350473112,4867822.079644086,0.0,558438.350473112,4867847.079644086,0.0,True
249.0,3700.0,560138.350473112,4868147.079644086,0.0,560121.6838064453,4868163.746310753,0.0,True
3700.0,3701.0,560121.6838064453,4868163.746310753,0.0,560105.0171397786,4868180.412977419,0.0,True
3701.0,3702.0,560105.0171397786,4868180.412977419,0.0,560088.350473112,4868197.079644086,0.0,True
3702.0,3703.0,560088.350473112,4868197.079644086,0.0,560071.6838064453,4868213.746310753,0.0,True
3703.0,3704.0,560071.6838064453,4868213.746310753,0.0,560055.0171397786,4868230.412977419,0.0,True
3704.0,277.0,560055.0171397786,4868230.412977419,0.0,560038.350473112,4868247.079644086,0.0,True
345.0,3753.0,559238.350473112,4868547.079644086,0.0,559221.6838064453,4868563.746310753,0.0,True
3753.0,3754.0,559221.6838064453,4868563.746310753,0.0,559205.0171397786,4868580.412977419,0.0,True
3754.0,3755.0,559205.0171397786,4868580.412977419,0.0,559188.350473112,4868597.079644086,0.0,True
3755.0,3756.0,559188.350473112,4868597.079644086,0.0,559171.6838064453,4868613.746310753,0.0,True
3756.0,3757.0,559171.6838064453,4868613.746310753,0.0,559155.0171397786,4868630.412977419,0.0,True
3757.0,366.0,559155.0171397786,4868630.412977419,0.0,559138.350473112,4868647.079644086,0.0,True
173.0,3894.0,558438.350473112,4867947.079644086,0.0,558438.350473112,4867972.079644086,0.0,True
3894.0,3895.0,558438.350473112,4867972.079644086,0.0,558438.350473112,4867997.079644086,0.0,True
3895.0,3896.0,558438.350473112,4867997.079644086,0.0,558438.350473112,4868022.079644086,0.0,True
3896.0,203.0,558438.350473112,4868022.079644086,0.0,558438.350473112,4868047.079644086,0.0,True
443.0,3940.0,557938.350473112,4869247.079644086,0.0,557938.350473112,4869272.079644086,0.0,True
3940.0,3941.0,557938.350473112,4869272.079644086,0.0,557938.350473112,4869297.079644086,0.0,True
3941.0,3942.0,557938.350473112,4869297.079644086,0.0,557938.350473112,4869322.079644086,0.0,True
3942.0,450.0,557938.350473112,4869322.079644086,0.0,557938.350473112,4869347.079644086,0.0,True
444.0,3990.0,558038.350473112,4869247.079644086,0.0,558021.6838064453,4869263.746310753,0.0,True
3990.0,3991.0,558021.6838064453,4869263.746310753,0.0,558005.0171397786,4869280.412977419,0.0,True
3991.0,3992.0,558005.0171397786,4869280.412977419,0.0,557988.350473112,4869297.079644086,0.0,True
