t, Q
2519930.0,0.04471221873267868
2519940.0,0.044712270700889394
2519950.0,0.04471231922530586
2519960.0,0.0447123294359302
2519970.0,0.044712394513859735
2519980.0,0.04471236301096761
2519990.0,0.044712353612101075
2520000.0,0.04471230682885628
2520010.0,0.0447122478360784
2520020.0,0.044712242355815744
2520030.0,0.04471219525404983
2520040.0,0.04471224470008735
2520050.0,0.04471226012416728
2520060.0,0.044712306478709926
2520070.0,0.04471236770755702
2520080.0,0.04471236585812104
2520090.0,0.0447123853738592
2520100.0,0.04471232554470204
2520110.0,0.04471230654115592
2520120.0,0.04471225982010561
2520130.0,0.04471220805966008
2520140.0,0.04471222323540167
2520150.0,0.04471222629472384
2520160.0,0.044712290006927606
2520170.0,0.044712310712001005
2520180.0,0.04471235454189552
2520190.0,0.04471238787194803
2520200.0,0.04471236381502754
2520210.0,0.04471234063051957
2520220.0,0.04471227573683498
2520230.0,0.044712256512242886
2520240.0,0.04471221901949213
2520250.0,0.04471220823896786
2520260.0,0.04471224549925375
2520270.0,0.04471226480202006
2520280.0,0.04471233398469683
2520290.0,0.04471235534520407
2520300.0,0.04471238660776923
2520310.0,0.04471235999052435
2520320.0,0.04471232278400377
2520330.0,0.044712296376475114
2520340.0,0.044712228931136674
2520350.0,0.04471222678205759
2520360.0,0.044712206249716016
2520370.0,0.04471225665465349
2520380.0,0.044712294777825554
2520390.0,0.044712311936590726
2520400.0,0.04471238595723322
2520410.0,0.04471236842419839
2520420.0,0.044712370657410384
2520430.0,0.04471230944225182
2520440.0,0.04471226957220173
2520450.0,0.0447122548809628
2520460.0,0.04471219495135969
2520470.0,0.044712233854195794
2520480.0,0.04471224111043121
2520490.0,0.04471229517844904
2520500.0,0.0447123468836864
2520510.0,0.04471235570551587
2520520.0,0.0447123952817676
2520530.0,0.04471234150103746
2520540.0,0.04471232769531439
2520550.0,0.04471227196209492
2520560.0,0.04471222369046638
2520570.0,0.04471222017375492
2520580.0,0.044712215042608514
2520590.0,0.04471227237960857
2520600.0,0.044712287660552096
2520610.0,0.04471233960063047
2520620.0,0.04471238287792791
2520630.0,0.044712370913336526
2520640.0,0.04471235813851849
2520650.0,0.04471229705802213
2520660.0,0.044712281064608
2520670.0,0.044712228401611126
2520680.0,0.04471220805039591
2520690.0,0.044712227241053074
2520700.0,0.04471226008297169
2520710.0,0.044712323188911066
2520720.0,0.044712335970217607
2520730.0,0.04471238283740698
2520740.0,0.04471237600241124
2520750.0,0.04471234544456108
2520760.0,0.04471231871380028
2520770.0,0.04471224929309529
2520780.0,0.044712237215383296
2520790.0,0.044712200018126175
2520800.0,0.04471224328647696
2520810.0,0.04471227048563842
2520820.0,0.04471230467652796
2520830.0,0.04471237094631831
2520840.0,0.04471236493905791
2520850.0,0.044712385388974735
2520860.0,0.044712326637312096
2520870.0,0.044712295877584095
2520880.0,0.04471226982189689
2520890.0,0.0447122021325688
2520900.0,0.04471222528826073
2520910.0,0.04471222646479215
2520920.0,0.044712292203050286
2520930.0,0.04471232295031648
2520940.0,0.04471234874835346
2520950.0,0.04471239468408789
2520960.0,0.04471235626919325
2520970.0,0.0447123469335757
2520980.0,0.0447122853630575
